headword,translations
backen,zandas
backenstreich,perausis
backhauß,peczus
backofenloch,pryzada
backtrog,dûnkubilis
backzahn,kruminis
bad,perimas
baden,perti; pertisi; mauditisi
bader,boderus
badstube,pirtis
bahn,kelies
bahnen,praminti
bahr,sandalipa; borai
bahrmutter,gimdywe
balbier,balbierus
balbieren,barsda skusti
balcke,balkis
bald,weik
baldrian,lauko zole
balg,skura; oda
balgen,imtisi
ball,pilline
ball spielen,pilline mußti; zaisti
band,rißys; lankas
bandig,ramus
bandig machen,raminti
banke,sûlas
bann,atskirimas
banquet,czesnis
banquetiren,czestnawoti
bapst,popiezus
bapster,popiesznikas
bapstuhm,popiezyste
bär,lokys; meßka
bärenhaut,meßkena
bärenleiter,meßkininkas
barfaze,letenna
barfuß,bassas
barmherzig,mielaßirdingas
barmherzigkeit,mielaßirdingyste; mielaßirdyste
bart,barsda
bärtig,barsdotas
bartsch,barßczei
bast,lunkas; plaußai; winkßnas; karnai
bastart,bostras
bau,budawone
bauch,pilwas
bauchfluß,gele
bauchriemen,dirzas
bauchwehe,pilwo skaudejims; rûpes
bauen,budawoti; kurti
bauer,buras; muzikkas; kiemons
bauholtz,rastai
baum,medis
baumgarten,szodas
baumgärtner,czepininkas
baumoel,oliejus
baumpflanzen,czepiti
baumwoll,taukinnei
baurisch,burißkas
baustete,sodyba
bauzeug,rikai cimmerninko
beantworten,atsakiti
bearbeiten,rupintisi
beben,drebeti
bebrüten,ußperreti
becher,kupka
becher so verguldet,auksûta kupka
becherlein,kupkele
becken,praustuwe
becker,bekere; piragininks
bedacht seyn,susimisliti
bedecken,apdengti; apglopti
bedeckt,apdenktas
bedencken,apdumoti; pamastyti
bedenckzeit,padumojimo czezas
bedeuten,issimanyti
bedeutung,is simanimas
bedienen,paszluzyti
bedienung,tarnawimas
beding,nukalbesis
bedingen,suderreti
bedingung,suderejimai
bedrauen,apdrausti
bedurffen,priwalyti; reikalauti
bedürfftig,priwalus; reikalingas
beehren,paßlowinti
beerdigen,palaidûti; pakasti
beere,ûga
beete,lyse
befallen,uzgruti; apnikti; ußpulti
befaßen,apgnaußti
befehl,prisakimas
befehlen,liepti; paliezawoti; padûti; paweliti
befehligshaber,tiesastatis
befestigen,patwirtinti
befeuchten,padriekinti
befinden,rasti
beflecken,sutepti
befleckung,sutepimas
befließen,ußplukti
beförderer,pagalbininkas
befördern,paskubinti; pagelbeti
beförderung,pakalba
befremden,apsiswetinti
befreßen,apsiesti; apsirgti
befreuen,apsidzaukti
befreunden,apsigentauti
befreyen,ißwalnyti
befriedigen,pakajuti
befühlen,apczupineti
befürchten,bijotisi
begeben,apdûwanoti
begeben,nussidût; gaditisi; ywikti
begebenheit,nusidawimas
begebet,apdûwanotas
begegnen,sutikti
begehen,nusideti; apwaikßczoti
begehren,geisti; geidauti; noreti; meiliti; ussigeisti
begierde,noras; geidulas
begierig,norus; geidulingas
begießen,uzlieti; aplieti; aplaistiti
beginnen,weikti
begleiten,palydeti
begraben,palaidûti; pakasti; pakupeti
begrabniß,szermenys
begreiffen,apgnaußti
begriff,suglaudimas
behagen,megti; lûbiti; rauditi
behalten,palaikyti
behandeln,supriekoti; suderreti
behändigkeit,sukkrumas
behandlung,suderejimas
beharren,pasilikti
beharrlich,pasiliktinay; wissaday
behauen,apkaputi; aptaßyti
behausung,nammai
behelfflich seyn,pagelbeti; paszokti
behend,sukrus; sukresnis; sukrausias
behertz seyn,dristi
beherzigen,apdumoti
beheulen,apraudoti
behobeln,apdroßti
behutte gott,apsaugok; neroczik diewe
behütten,apsaugoti
behüttsam,sargus
beicht,spawedis; parenda; griekawimas
beichten,spawedoti
beil,skluttas
beimwoll,taukinei
bein,kaulas
beinhauß,kaulinyczia
beißen,kasti
beißig,kandus
beizen,rauginti
bekandt,pazystamas
bekandtniß,ißpazinimas
bekandtschafft,pazintis
bekehren,prisiwersti
bekehrung,prisiwertimas
bekennen,ißpazinti
beklagen,apskusti
beklagigter,apskustas
bekleben,prilipti
bekleiden,apdengti; apredyti
bekommen,apturreti; apgauti; ygyti
bekräfftigen,pastipprinti; pawirtinti
bekräfftigung,pastiprinimas
bekriegen,apkarauti
bekümmern,rupintisi; apmaudûti
bekümmerniß,rupestis; apmaudas
beladen,apkrauti
belagern,apgulti
belagerung,apgulimas
belauffen,sausti
belauren,sutykoti
beleidigen,ißkadinti; pajeisti
beleidigung,ißkada; pajeidimas
belffern,weblenti
belieben,wozyti; lubyti; meilyti; naudyti
bellen,loti
belohnen,uzmoketi; uzmokejimas
belügen,apmelûti
belüstigen,palinksminti
belustigung,palinksminojimas
bemachtigen,apgauti
bemisten,apkresti
bemühen,procewoti
bemühung,proce
bemummeln,apsigopti
bemurren,apzuzgeti
benagen,apkraußti; apkrimsti
benaschen,apsmailauti
bendig machen,raminti
benedict,bindzus
benedigen,palaiminti
benedigung,palaiminimas
benehmen,apimti
